index,palette_color,hex,source_file,output_file
91,"(49, 124, 169)",#317CA9,E091.png,palette_tile_0091.png
92,"(67, 166, 230)",#43A6E6,E092.png,palette_tile_0092.png
93,"(57, 78, 99)",#394E63,E093.png,palette_tile_0093.png
94,"(67, 77, 88)",#434D58,E094.png,palette_tile_0094.png
95,"(91, 112, 136)",#5B7088,E095.png,palette_tile_0095.png
96,"(77, 121, 202)",#4D79CA,E096.png,palette_tile_0096.png
97,"(38, 39, 66)",#262742,E097.png,palette_tile_0097.png
98,"(40, 41, 102)",#282966,E098.png,palette_tile_0098.png
99,"(51, 51, 53)",#333335,E099.png,palette_tile_0099.png
100,"(118, 115, 201)",#7673C9,E100.png,palette_tile_0100.png
101,"(82, 27, 202)",#521BCA,E101.png,palette_tile_0101.png
102,"(122, 52, 150)",#7A3496,E102.png,palette_tile_0102.png
103,"(217, 25, 201)",#D919C9,E103.png,palette_tile_0103.png
104,"(222, 129, 195)",#DE81C3,E104.png,palette_tile_0104.png
105,"(103, 67, 90)",#67435A,E105.png,palette_tile_0105.png
106,"(208, 63, 137)",#D03F89,E106.png,palette_tile_0106.png
107,"(220, 46, 118)",#DC2E76,E107.png,palette_tile_0107.png
108,"(95, 34, 53)",#5F2235,E108.png,palette_tile_0108.png
109,"(246, 159, 186)",#F69FBA,E109.png,palette_tile_0109.png
110,"(123, 34, 58)",#7B223A,E110.png,palette_tile_0110.png
111,"(149, 78, 82)",#954E52,E111.png,palette_tile_0111.png
112,"(217, 71, 60)",#D9473C,E112.png,palette_tile_0112.png
113,"(200, 110, 85)",#C86E55,E113.png,palette_tile_0113.png
114,"(225, 87, 46)",#E1572E,E114.png,palette_tile_0114.png
115,"(140, 83, 65)",#8C5341,E115.png,palette_tile_0115.png
116,"(204, 117, 80)",#CC7550,E116.png,palette_tile_0116.png
117,"(222, 93, 36)",#DE5D24,E117.png,palette_tile_0117.png
118,"(192, 99, 52)",#C06334,E118.png,palette_tile_0118.png
119,"(48, 41, 37)",#302925,E119.png,palette_tile_0119.png
120,"(193, 158, 138)",#C19E8A,E120.png,palette_tile_0120.png
121,"(249, 147, 86)",#F99356,E121.png,palette_tile_0121.png
122,"(243, 140, 76)",#F38C4C,E122.png,palette_tile_0122.png
123,"(56, 46, 39)",#382E27,E123.png,palette_tile_0123.png
124,"(184, 103, 46)",#B8672E,E124.png,palette_tile_0124.png
125,"(243, 145, 74)",#F3914A,E125.png,palette_tile_0125.png
126,"(204, 156, 121)",#CC9C79,E126.png,palette_tile_0126.png
127,"(226, 139, 55)",#E28B37,E127.png,palette_tile_0127.png
128,"(154, 105, 56)",#9A6938,E128.png,palette_tile_0128.png
129,"(189, 122, 54)",#BD7A36,E001.png,palette_tile_0129.png
130,"(222, 137, 48)",#DE8930,E002.png,palette_tile_0130.png
131,"(186, 131, 72)",#BA8348,E003.png,palette_tile_0131.png
132,"(218, 137, 46)",#DA892E,E004.png,palette_tile_0132.png
133,"(224, 145, 48)",#E09130,E005.png,palette_tile_0133.png
134,"(226, 184, 132)",#E2B884,E006.png,palette_tile_0134.png
135,"(225, 165, 89)",#E1A559,E007.png,palette_tile_0135.png
136,"(75, 65, 52)",#4B4134,E008.png,palette_tile_0136.png
137,"(238, 207, 164)",#EECFA4,E009.png,palette_tile_0137.png
138,"(231, 201, 159)",#E7C99F,E010.png,palette_tile_0138.png
139,"(62, 55, 45)",#3E372D,E011.png,palette_tile_0139.png
140,"(221, 168, 89)",#DDA859,E012.png,palette_tile_0140.png
141,"(249, 198, 116)",#F9C674,E013.png,palette_tile_0141.png
142,"(243, 220, 183)",#F3DCB7,E014.png,palette_tile_0142.png
143,"(236, 206, 157)",#ECCE9D,E015.png,palette_tile_0143.png
144,"(240, 212, 164)",#F0D4A4,E016.png,palette_tile_0144.png
145,"(234, 216, 185)",#EAD8B9,E017.png,palette_tile_0145.png
146,"(206, 156, 66)",#CE9C42,E018.png,palette_tile_0146.png
147,"(244, 222, 180)",#F4DEB4,E019.png,palette_tile_0147.png
148,"(247, 201, 113)",#F7C971,E020.png,palette_tile_0148.png
149,"(216, 189, 137)",#D8BD89,E021.png,palette_tile_0149.png
150,"(234, 206, 152)",#EACE98,E022.png,palette_tile_0150.png
151,"(239, 216, 171)",#EFD8AB,E023.png,palette_tile_0151.png
152,"(240, 213, 160)",#F0D5A0,E024.png,palette_tile_0152.png
153,"(230, 203, 147)",#E6CB93,E025.png,palette_tile_0153.png
154,"(223, 204, 164)",#DFCCA4,E026.png,palette_tile_0154.png
155,"(246, 202, 109)",#F6CA6D,E027.png,palette_tile_0155.png
156,"(236, 210, 155)",#ECD29B,E028.png,palette_tile_0156.png
157,"(229, 212, 175)",#E5D4AF,E029.png,palette_tile_0157.png
158,"(224, 188, 108)",#E0BC6C,E030.png,palette_tile_0158.png
159,"(203, 158, 55)",#CB9E37,E031.png,palette_tile_0159.png
160,"(225, 209, 169)",#E1D1A9,E032.png,palette_tile_0160.png
161,"(239, 210, 123)",#EFD27B,E033.png,palette_tile_0161.png
162,"(242, 215, 133)",#F2D785,E034.png,palette_tile_0162.png
163,"(236, 210, 113)",#ECD271,E035.png,palette_tile_0163.png
164,"(181, 191, 37)",#B5BF25,E036.png,palette_tile_0164.png
