index,palette_color,hex,source_file,output_file
1,"(145, 81, 74)",#91514A,E001.png,palette_tile_0001.png
2,"(221, 84, 47)",#DD542F,E002.png,palette_tile_0002.png
3,"(202, 114, 83)",#CA7253,E003.png,palette_tile_0003.png
4,"(192, 99, 52)",#C06334,E004.png,palette_tile_0004.png
5,"(243, 140, 76)",#F38C4C,E005.png,palette_tile_0005.png
6,"(232, 141, 61)",#E88D3D,E006.png,palette_tile_0006.png
7,"(189, 122, 54)",#BD7A36,E007.png,palette_tile_0007.png
8,"(220, 137, 47)",#DC892F,E008.png,palette_tile_0008.png
9,"(224, 145, 48)",#E09130,E009.png,palette_tile_0009.png
10,"(225, 171, 103)",#E1AB67,E010.png,palette_tile_0010.png
11,"(75, 65, 52)",#4B4134,E011.png,palette_tile_0011.png
12,"(62, 55, 45)",#3E372D,E012.png,palette_tile_0012.png
13,"(221, 168, 89)",#DDA859,E013.png,palette_tile_0013.png
14,"(249, 198, 116)",#F9C674,E014.png,palette_tile_0014.png
15,"(243, 220, 183)",#F3DCB7,E015.png,palette_tile_0015.png
16,"(204, 157, 81)",#CC9D51,E016.png,palette_tile_0016.png
17,"(236, 206, 157)",#ECCE9D,E017.png,palette_tile_0017.png
18,"(231, 202, 153)",#E7CA99,E018.png,palette_tile_0018.png
19,"(240, 212, 164)",#F0D4A4,E019.png,palette_tile_0019.png
20,"(234, 216, 185)",#EAD8B9,E020.png,palette_tile_0020.png
21,"(237, 209, 160)",#EDD1A0,E021.png,palette_tile_0021.png
22,"(244, 222, 180)",#F4DEB4,E022.png,palette_tile_0022.png
23,"(239, 216, 171)",#EFD8AB,E023.png,palette_tile_0023.png
24,"(240, 213, 160)",#F0D5A0,E024.png,palette_tile_0024.png
25,"(247, 202, 111)",#F7CA6F,E025.png,palette_tile_0025.png
26,"(221, 194, 136)",#DDC288,E026.png,palette_tile_0026.png
27,"(229, 212, 175)",#E5D4AF,E027.png,palette_tile_0027.png
28,"(44, 41, 34)",#2C2922,E028.png,palette_tile_0028.png
29,"(225, 209, 169)",#E1D1A9,E029.png,palette_tile_0029.png
30,"(236, 209, 129)",#ECD181,E030.png,palette_tile_0030.png
31,"(242, 215, 133)",#F2D785,E031.png,palette_tile_0031.png
32,"(82, 82, 71)",#525247,E032.png,palette_tile_0032.png
33,"(162, 177, 64)",#A2B140,E033.png,palette_tile_0033.png
34,"(102, 116, 61)",#66743D,E034.png,palette_tile_0034.png
35,"(132, 151, 139)",#84978B,E035.png,palette_tile_0035.png
36,"(84, 154, 122)",#549A7A,E036.png,palette_tile_0036.png
37,"(66, 139, 112)",#428B70,E037.png,palette_tile_0037.png
38,"(69, 126, 108)",#457E6C,E038.png,palette_tile_0038.png
39,"(37, 119, 96)",#257760,E039.png,palette_tile_0039.png
40,"(88, 120, 113)",#587871,E040.png,palette_tile_0040.png
41,"(134, 162, 156)",#86A29C,E041.png,palette_tile_0041.png
42,"(53, 137, 120)",#358978,E042.png,palette_tile_0042.png
43,"(69, 135, 125)",#45877D,E043.png,palette_tile_0043.png
44,"(91, 156, 151)",#5B9C97,E044.png,palette_tile_0044.png
45,"(70, 139, 134)",#468B86,E045.png,palette_tile_0045.png
46,"(66, 197, 189)",#42C5BD,E046.png,palette_tile_0046.png
47,"(63, 81, 81)",#3F5151,E047.png,palette_tile_0047.png
48,"(55, 138, 140)",#378A8C,E048.png,palette_tile_0048.png
49,"(11, 75, 77)",#0B4B4D,E049.png,palette_tile_0049.png
50,"(57, 150, 159)",#39969F,E050.png,palette_tile_0050.png
51,"(49, 127, 148)",#317F94,E051.png,palette_tile_0051.png
52,"(52, 112, 129)",#347081,E052.png,palette_tile_0052.png
53,"(68, 120, 151)",#447897,E053.png,palette_tile_0053.png
54,"(51, 51, 53)",#333335,E054.png,palette_tile_0054.png
55,"(45, 42, 69)",#2D2A45,E055.png,palette_tile_0055.png
56,"(102, 40, 176)",#6628B0,E056.png,palette_tile_0056.png
57,"(215, 45, 152)",#D72D98,E057.png,palette_tile_0057.png
58,"(95, 34, 53)",#5F2235,E058.png,palette_tile_0058.png
59,"(123, 34, 58)",#7B223A,E059.png,palette_tile_0059.png
60,"(204, 130, 134)",#CC8286,E060.png,palette_tile_0060.png
61,"(145, 81, 74)",#91514A,E061.png,palette_tile_0061.png
62,"(221, 84, 47)",#DD542F,E062.png,palette_tile_0062.png
63,"(202, 114, 83)",#CA7253,E063.png,palette_tile_0063.png
64,"(192, 99, 52)",#C06334,E064.png,palette_tile_0064.png
